lagoslakeid,HU4,lon,lat,random25_holdout,random75_holdout,hu4_ag50_holdout,hu4_strat75_holdout,hu4_random50_holdout,cluster_strat75_holdout,cluster_random50_holdout,tp,tn,chal,secchi,maxdepth_m,IWS_lk_ratio,iws_nlcd2006_for,lake_sdf,lakeconn_v2_1,lakeconn_v2_2,iws_sdf,iws_streamdensity_streams_density_mperha,elevation_m,wlconnections_allwetlands_shoreline%,roaddensity_mperha,baseflow_mean,runoff_mean,totalNdep_19902010_diff,hu4_nlcd2006_agr,totalNdep_1990_mean,prism_ppt_mean,prism_tmean_mean
8115,2,-70.155899,45.964404,0,1,0,0,0,1,0,NA,NA,NA,NA,15.24,11.27356825,81.03,2.214617261,0,1,2.296346879,6.6868,454.3209839,12.7461993,5.0594,50.2865,26.0229,2.2685,1.7945,4.2741,1130.3441,4.9599
8119,8,-70.756143,43.411984,0,1,0,1,0,1,1,NA,NA,NA,NA,NA,4.841647187,43.37,1.262834966,0,0,2.007448253,0.2899,70.21300507,0.9704829,67.4871,53.7978,25.0599,2.2899,4.7385,5.1076,1215.8701,7.2854
8123,2,-69.641948,45.237562,1,1,0,1,0,1,1,NA,NA,NA,2.5,NA,5.061440606,84.04,1.562583109,0,0,2.080515179,0,439.6711731,1.2869387,0,50.2865,26.0229,2.2685,1.7945,4.2741,1130.3441,4.9599
8124,4,-69.892636,44.203905,0,1,0,1,0,1,0,17,NA,7.1,4.2,NA,110.741007,73.16,1.838809306,0,1,2.388857049,10.9691,40.89399719,3.609625,25.9289,47.7583,25.2737,2.4415,3.9567,4.5334,1146.4893,5.0186
8127,4,-69.317643,44.98509,0,1,0,1,0,1,0,13,NA,4.5,4.8,7.0104,19.04332488,57.79,1.852678501,0,1,2.148352568,39.5096,83.31699371,2.9063507,21.6602,47.7583,25.2737,2.4415,3.9567,4.5334,1146.4893,5.0186
8128,3,-68.046328,45.196271,1,1,0,0,1,0,1,14,NA,2.6,3.15,7.62,9.571069793,94.24,1.348570953,0,0,1.749057609,0.0272,150.3749847,NA,22.9035,53.6855,26.4695,1.9867,2.0899,4.5072,1195.1956,6.6209
8130,4,-70.090222,45.292341,0,1,0,0,0,1,0,NA,NA,NA,3.49,7.62,15.37896902,82.44,1.470026868,1,0,1.671464992,8.5904,353.1020203,1.1180844,0,47.7583,25.2737,2.4415,3.9567,4.5334,1146.4893,5.0186
8131,1,-69.080632,46.342252,1,1,0,1,1,1,1,19,595,5.1,2.1,2.7432,11.56633482,97.79,1.275020522,0,0,1.658330949,0,382.0320129,1.4483718,0,51.5325,22.633,1.9828,5.7136,3.7653,1058.3433,3.6599
8132,3,-68.2059,44.35577,0,1,0,0,1,0,0,NA,NA,NA,0.9,1.2192,15.18370372,26.52,1.481762489,0,0,1.705196939,5.425,29.11000061,1.4523029,18.3174,53.6855,26.4695,1.9867,2.0899,4.5072,1195.1956,6.6209
8134,8,-70.83225,44.220601,1,1,0,0,0,1,0,5,188,2.3,5.87,6.4008,8.267577277,97.41,1.382263136,0,1,1.7997947,5.9848,217.1679993,NA,16.3764,53.7978,25.0599,2.2899,4.7385,5.1076,1215.8701,7.2854
8135,2,-68.721014,46.146475,0,1,0,1,0,1,0,6,NA,3.7,3.8,10.3632,4.375351252,80.89,2.093877597,1,0,2.632066376,0.5503,201.2900085,11.8099966,7.3064,50.2865,26.0229,2.2685,1.7945,4.2741,1130.3441,4.9599
8138,3,-67.409478,44.94929,1,1,0,1,1,1,0,4,180,2.4,8.79,22.86,3.214374575,78.76,3.830208361,1,0,3.748115287,6.0071,65.3259964,49.0750052,14.8453,53.6855,26.4695,1.9867,2.0899,4.5072,1195.1956,6.6209
8139,3,-69.007491,44.452717,0,0,0,0,1,1,0,13,407,NA,2.71,1.8288,11.37733739,69.62,1.990239884,0,1,2.209736044,3.698,47.90000153,2.619851,19.8996,53.6855,26.4695,1.9867,2.0899,4.5072,1195.1956,6.6209
8140,4,-70.45848,45.285477,1,0,0,0,0,0,1,9,NA,2.5,6,11.2776,2.612608082,69.48,1.236778064,0,0,2.501313449,0.0869,527.7639771,NA,1.2073,47.7583,25.2737,2.4415,3.9567,4.5334,1146.4893,5.0186
8141,3,-69.188204,44.224136,0,1,0,0,1,0,0,11,406,4.7,3.5,3.6576,4.804805757,77.56,2.384680485,0,1,2.488920477,0.1217,106.4919968,6.4475274,18.9391,53.6855,26.4695,1.9867,2.0899,4.5072,1195.1956,6.6209
8142,2,-68.779557,44.699622,0,1,0,1,0,1,0,7,243,2.7,5.95,7.3152,17.65047348,80.46,1.696807464,1,0,1.865387825,8.9907,56.79000092,NA,16.0699,50.2865,26.0229,2.2685,1.7945,4.2741,1130.3441,4.9599
8143,2,-68.625162,44.522772,1,1,0,1,0,1,0,5,254,4.1,6.5,37.1856,4.729644877,80.86,4.550191167,0,1,4.026426323,7.506,49.8890419,50.3775352,22.7978,50.2865,26.0229,2.2685,1.7945,4.2741,1130.3441,4.9599
8144,6,-70.268256,44.282611,0,1,0,1,1,1,1,9,NA,2.2,5.3,11.8872,7.335658921,80.97,1.095278959,0,0,1.632657188,0.0934,99.82600403,1.7139406,13.2993,49.9942,26.9537,2.6657,2.9295,5.1774,1218.6781,5.0378
8145,3,-69.774334,43.951349,0,1,0,1,1,1,0,9,224,6.6,4.4,19.2024,27.52184263,82.15,2.113002182,1,0,2.793685939,14.4805,4.599999905,10.2744629,18.9584,53.6855,26.4695,1.9867,2.0899,4.5072,1195.1956,6.6209
8146,8,-70.770946,43.216907,0,1,0,0,0,1,0,23,NA,9.2,2,4.8768,27.65181072,80.85,1.490343757,1,0,1.599434206,12.9409,33.27399826,1.4775871,17.3287,53.7978,25.0599,2.2899,4.7385,5.1076,1215.8701,7.2854
8147,6,-70.261318,44.222695,1,1,0,1,1,0,1,8,431,3.7,3.6,4.2672,3.718073918,70.68,1.349840646,0,0,2.241629813,0.3632,97.06300354,NA,69.3113,49.9942,26.9537,2.6657,2.9295,5.1774,1218.6781,5.0378
8150,3,-68.527271,44.746369,1,1,0,1,1,1,0,7,NA,1.6,6.5,8.2296,5.02429875,89.21,1.931954227,1,0,2.466839138,5.166,100.4079971,7.785607,4.9322,53.6855,26.4695,1.9867,2.0899,4.5072,1195.1956,6.6209
8151,4,-69.718524,45.541077,0,0,0,1,0,1,0,11,493,5.1,2.5,3.048,8.641028715,76.1,1.588019768,1,0,2.336189059,7.7733,317.7319946,7.2832796,8.7971,47.7583,25.2737,2.4415,3.9567,4.5334,1146.4893,5.0186
8152,8,-70.995546,44.098137,0,1,0,1,0,1,0,6,141,3.4,7.3,19.812,8.686936789,91.28,1.463506324,1,0,2.353143679,9.3576,116.2990036,6.9104209,12.2004,53.7978,25.0599,2.2899,4.7385,5.1076,1215.8701,7.2854
8153,2,-68.602062,44.694751,0,0,0,1,0,0,0,2,NA,2.2,10.6,29.8704,5.137846271,83.77,3.492542956,0,1,3.388575095,7.4483,69.30799866,23.0890984,36.0352,50.2865,26.0229,2.2685,1.7945,4.2741,1130.3441,4.9599
8155,3,-69.170026,44.247457,1,1,0,0,1,1,0,17,201,6.8,5.7,6.096,6.729493754,81.54,2.171802449,1,0,2.28019497,7.8056,107.9919968,7.9969016,20.3426,53.6855,26.4695,1.9867,2.0899,4.5072,1195.1956,6.6209
8157,2,-68.555608,44.76297,0,0,0,1,0,1,1,4,159,0.9,11.4,19.5072,6.675375382,94.82,1.72728102,0,0,1.952818287,0.01,97.69999695,NA,3.1214,50.2865,26.0229,2.2685,1.7945,4.2741,1130.3441,4.9599
