lagoslakeid,HU4,lon,lat,random25_holdout,random75_holdout,hu4_ag50_holdout,hu4_strat75_holdout,hu4_random50_holdout,cluster_strat75_holdout,cluster_random50_holdout,tp,tn,chal,secchi,maxdepth_m,IWS_lk_ratio,iws_nlcd2006_for,lake_sdf,lakeconn_v2_1,lakeconn_v2_2,iws_sdf,iws_streamdensity_streams_density_mperha,elevation_m,wlconnections_allwetlands_shoreline%,roaddensity_mperha,baseflow_mean,runoff_mean,totalNdep_19902010_diff,hu4_nlcd2006_agr,totalNdep_1990_mean,prism_ppt_mean,prism_tmean_mean
1,12,-73.174249,42.547393,0,1,0,1,1,1,0,NA,NA,NA,1.3,2.7,6.395493511,79.34,2.44600795,0,1,2.463167502,4.7642,295.855011,9.2963323,18.8848,46.7442,23.6167,3.7694,16.4373,6.8876,1174.4487,7.5265
2,7,-73.047277,42.184089,0,0,0,1,0,0,1,5,NA,3.9,6.5,6.1,2.477944847,79.57,1.662449203,0,0,2.568845852,0,447.8349915,2.938701,79.9651,47.925,24.1792,3.0082,6.5853,5.8813,1205.8622,6.8017
3,12,-73.19155,42.530813,0,1,0,1,1,1,0,27,NA,6.6,2.4,1.8,18.76098045,79.9,1.89119888,1,0,2.266871607,10.3695,295.855011,5.8218295,16.124,46.7442,23.6167,3.7694,16.4373,6.8876,1174.4487,7.5265
4,10,-71.140791,42.454346,0,0,0,1,1,1,0,36,NA,44.2,0.95,5.2,351.6859649,6.29,1.313612489,0,1,2.577856833,7.1432,4.256000042,NA,117.8805,57.049,24.672,1.803,4.8034,4.9128,1241.9529,10.0176
5,10,-70.822672,42.604047,0,0,0,1,1,1,0,NA,NA,12.4,1.4,3.4,15.64164218,45.9,1.517493566,1,0,2.309858958,13.7756,13.65000057,2.0126685,63.1638,57.049,24.672,1.803,4.8034,4.9128,1241.9529,10.0176
6,11,-72.11992,42.142094,0,0,0,1,0,1,0,7,NA,2.6,5.4,13.7,1.75995922,74.33,1.54635056,1,0,2.924343534,5.4252,219.8040009,NA,53.4074,49.7178,25.1198,3.4168,8.3497,6.5764,1247.0477,9.3886
7,10,-71.001721,42.69819,1,1,0,1,1,1,0,8,NA,11.8,5.1,12.5,14.31268821,72.71,1.479416153,1,0,1.92151067,13.0347,27.25000191,2.5707633,31.6261,57.049,24.672,1.803,4.8034,4.9128,1241.9529,10.0176
8,7,-72.37155,42.621946,0,1,0,0,0,0,1,5,260,6.2,5,9.8,13.0415003,91.66,1.751600171,0,0,2.030979786,0,232.8139954,2.6328726,36.4081,47.925,24.1792,3.0082,6.5853,5.8813,1205.8622,6.8017
9,7,-72.753502,42.04511,0,1,0,0,0,1,1,17,NA,2.6,4.6,12.2,4.615095876,30.73,1.594988961,0,0,2.55543383,0,69.58300018,NA,93.4046,47.925,24.1792,3.0082,6.5853,5.8813,1205.8622,6.8017
10,7,-72.75964,42.030017,1,1,0,1,0,0,0,NA,NA,14,2.1,10.7,5.639521151,25.01,2.250871756,1,0,3.097143864,4.2272,69.58300018,8.4754148,55.7895,47.925,24.1792,3.0082,6.5853,5.8813,1205.8622,6.8017
11,10,-70.849933,42.162381,0,0,0,0,1,0,0,34,NA,4.7,1.3,1.5,16.37081193,33.59,2.39647652,1,0,2.038032437,2.1376,34.31000137,4.2136098,57.215,57.049,24.672,1.803,4.8034,4.9128,1241.9529,10.0176
12,9,-71.370709,42.305244,0,1,0,1,0,1,0,NA,NA,13,2.6,18.3,3.055754942,11.71,2.080528209,0,1,3.017057087,0.8945,41.76359558,NA,114.748,52.6247,22.591,2.6093,4.7739,5.3417,1209.175,7.6787
13,10,-69.982971,41.773999,0,1,0,1,1,0,1,8,NA,1.4,6.2,13.4,7.353137102,22.91,1.292838241,0,0,2.189213929,0,4.159999847,1.6772192,108.4024,57.049,24.672,1.803,4.8034,4.9128,1241.9529,10.0176
14,9,-71.426653,42.282351,0,1,0,1,0,1,1,NA,NA,NA,2.5,5.5,0.910719515,0.61,1.283687794,0,0,2.138074955,0,46.26800156,3.1742954,104.9886,52.6247,22.591,2.6093,4.7739,5.3417,1209.175,7.6787
15,10,-71.070227,42.617787,0,1,0,1,1,1,1,23,NA,NA,NA,1.8,7.362788314,76.88,2.610869923,0,0,2.731982227,0,33.81084824,4.161277,29.9191,57.049,24.672,1.803,4.8034,4.9128,1241.9529,10.0176
16,10,-70.973289,41.684786,0,0,0,1,1,1,0,24,840,3.9,0.8,6.1,55.86192283,52.42,3.482303232,1,0,2.061076824,8.6449,19.37000084,7.283179,43.8905,57.049,24.672,1.803,4.8034,4.9128,1241.9529,10.0176
17,10,-70.119664,41.728276,0,1,0,1,1,1,0,21,390,15.4,1.9,9.4,2.995428652,60.58,1.909623699,0,0,3.48856224,5.3043,7.870000362,8.0200699,54.7616,57.049,24.672,1.803,4.8034,4.9128,1241.9529,10.0176
18,10,-71.324025,41.970198,0,1,0,0,1,1,0,24,NA,11.3,2.4,9.1,90.30701989,30.03,2.257469015,0,1,1.988250858,8.1233,52.76200104,NA,73.7061,57.049,24.672,1.803,4.8034,4.9128,1241.9529,10.0176
19,7,-72.797483,42.460728,0,1,0,0,0,0,0,9,NA,NA,3.5,4.3,16.5631352,83.27,1.993781504,1,0,1.833017865,5.0162,438.8479919,3.2186958,24.4571,47.925,24.1792,3.0082,6.5853,5.8813,1205.8622,6.8017
21,9,-71.576596,42.228292,1,1,0,1,0,1,0,23,NA,2,3.15,9.8,4.12953358,69.35,3.793881998,1,0,2.856891022,11.4843,101.288002,20.2398507,32.2147,52.6247,22.591,2.6093,4.7739,5.3417,1209.175,7.6787
22,10,-70.070537,41.738274,0,1,0,0,1,1,1,6,NA,1,11.7,19.2,5.837945599,63.37,1.603717749,0,0,2.404634477,0,9.670000076,4.2530551,82.6493,57.049,24.672,1.803,4.8034,4.9128,1241.9529,10.0176
23,9,-71.431199,42.672709,0,1,0,0,0,1,0,25,NA,12,1.5,1.8,66.41006226,56.09,2.315066072,1,0,1.984140257,11.6368,34.27799988,4.437036,40.0776,52.6247,22.591,2.6093,4.7739,5.3417,1209.175,7.6787
24,10,-70.555998,41.904064,1,1,0,0,1,1,0,NA,NA,37.5,2.6,9.1,7.642020783,16.85,1.285314639,1,0,2.022210783,1.9844,4.300000191,NA,132.0065,57.049,24.672,1.803,4.8034,4.9128,1241.9529,10.0176
25,10,-71.156349,42.468553,0,1,0,1,1,1,0,16,NA,7,3.3,12.2,50.22649282,15.64,1.679262226,1,0,2.158781328,11.0319,12.25599957,3.9322676,114.0398,57.049,24.672,1.803,4.8034,4.9128,1241.9529,10.0176
26,10,-70.564709,41.799335,1,1,0,1,1,1,0,NA,NA,NA,4.2,12.8,4.603890716,47.97,1.946828968,0,1,2.818835715,2.0134,9.960000038,8.9408754,90.2052,57.049,24.672,1.803,4.8034,4.9128,1241.9529,10.0176
27,11,-73.275586,42.169999,0,1,0,0,0,1,0,NA,NA,NA,3.4,12.8,8.35085932,80,2.175793619,0,1,2.466036392,7.6262,277.4160156,6.8412654,57.3495,49.7178,25.1198,3.4168,8.3497,6.5764,1247.0477,9.3886
28,10,-71.120591,42.317587,0,1,0,1,1,1,0,10,NA,5.5,5.2,16.2,6.407571185,27.32,1.236258756,1,0,2.146023138,2.4388,18.25200081,NA,106.583,57.049,24.672,1.803,4.8034,4.9128,1241.9529,10.0176
29,11,-73.19624,42.182661,0,0,0,1,0,1,0,11,380,NA,4.4,9.4,8.113740807,84.64,2.377313183,1,0,2.754322658,4.5375,391.3269958,8.5932352,45.5322,49.7178,25.1198,3.4168,8.3497,6.5764,1247.0477,9.3886
31,9,-71.687102,42.523444,0,1,0,1,0,0,0,NA,NA,NA,5.3,13.7,6.00021021,46.69,1.366941648,1,0,2.075578716,3.847,102.262001,2.6885014,79.375,52.6247,22.591,2.6093,4.7739,5.3417,1209.175,7.6787
32,10,-70.065242,41.724784,1,1,0,1,1,1,0,16,NA,1.3,5.4,20.1,1.660079337,47.67,1.96268896,0,1,4.536592825,1.2395,9.380000114,11.9568684,109.1828,57.049,24.672,1.803,4.8034,4.9128,1241.9529,10.0176
33,9,-71.38983,42.633512,1,0,0,1,0,1,0,22,NA,11,2.4,6.4,103.4504939,40.9,1.737623532,0,1,2.356756489,15.3925,36.77799988,3.4341186,60.9831,52.6247,22.591,2.6093,4.7739,5.3417,1209.175,7.6787
34,10,-70.837204,42.005232,0,1,0,0,1,1,0,27,560,6.5,2.1,4,3.57014666,26.32,1.696596067,0,1,3.059629193,9.6664,15.5199995,5.9820577,62.4204,57.049,24.672,1.803,4.8034,4.9128,1241.9529,10.0176
35,7,-72.889067,42.699552,1,1,0,1,0,1,0,43,NA,1.4,1.25,2.4,34.21340509,85.47,1.575757504,1,0,1.585458001,11.2737,428.3510132,3.1692743,18.5297,47.925,24.1792,3.0082,6.5853,5.8813,1205.8622,6.8017
36,11,-73.269209,42.325592,0,1,0,0,0,1,0,NA,NA,6.7,5.8,16.2,9.24493637,45.91,1.660518204,1,0,1.919295527,3.6758,299.3059998,4.9332363,65.3495,49.7178,25.1198,3.4168,8.3497,6.5764,1247.0477,9.3886
37,7,-72.068994,42.194397,0,1,0,0,0,0,0,NA,NA,35.1,1.4,3.7,32.13160195,62.6,1.661154172,0,1,2.754620002,17.4958,182.8040009,8.734116,31.2993,47.925,24.1792,3.0082,6.5853,5.8813,1205.8622,6.8017
38,7,-72.035561,42.682065,0,0,0,1,0,1,0,34,NA,4.3,1.5,9.4,93.74585591,65.81,2.364564307,0,1,2.136451054,7.9268,295.269989,5.2474091,35.475,47.925,24.1792,3.0082,6.5853,5.8813,1205.8622,6.8017
39,10,-71.108012,41.944583,0,1,0,1,1,1,0,NA,NA,NA,2,9.1,19.21855633,39.73,2.732125865,0,1,2.675394504,3.467,17.92000008,10.0378626,25.8028,57.049,24.672,1.803,4.8034,4.9128,1241.9529,10.0176
40,7,-72.51396,42.146007,0,0,0,1,0,1,1,9,NA,NA,5.5,6.7,2.899043617,4.43,1.380009238,0,0,2.114200861,0,62.57900238,NA,188.84,47.925,24.1792,3.0082,6.5853,5.8813,1205.8622,6.8017
41,10,-71.349785,42.062381,0,1,0,0,1,1,0,17,NA,19.4,2.4,10.4,17.51835319,48.14,2.644309056,1,0,2.63404475,7.6266,60.16500092,9.1746395,49.4784,57.049,24.672,1.803,4.8034,4.9128,1241.9529,10.0176
42,11,-73.367894,42.20351,0,0,0,1,0,1,1,NA,NA,4,3.8,4.9,4.7415252,70.51,1.344428565,0,0,2.066973647,0.0666,259.4160156,1.5983349,61.0468,49.7178,25.1198,3.4168,8.3497,6.5764,1247.0477,9.3886
44,10,-71.028524,42.530414,0,1,0,0,1,0,0,45,NA,63,0.6,1.8,10.88837665,9.07,2.727374498,1,0,2.474181004,6.2541,29.06999969,5.8450662,86.6471,57.049,24.672,1.803,4.8034,4.9128,1241.9529,10.0176
45,7,-72.4316,42.305675,0,1,0,1,0,1,0,NA,NA,11.9,2.05,5.5,6.953822577,46.67,1.545101908,1,0,2.185032843,3.8553,93.0779953,2.476806,62.5317,47.925,24.1792,3.0082,6.5853,5.8813,1205.8622,6.8017
46,10,-71.775585,42.098329,0,1,0,1,1,1,0,NA,NA,7.5,3.2,9.1,10.55965067,62.49,2.332590288,1,0,2.200447091,12.8785,157.9909973,10.0466962,29.656,57.049,24.672,1.803,4.8034,4.9128,1241.9529,10.0176
47,7,-72.273197,42.54821,0,1,0,1,0,1,0,NA,430,NA,1.6,4.6,6.919958452,67.47,3.351593444,0,1,2.79779699,3.0286,160.8139954,10.9258276,40.2638,47.925,24.1792,3.0082,6.5853,5.8813,1205.8622,6.8017
48,10,-71.7503,42.271388,0,1,0,1,1,1,0,5,520,4.4,4.5,24.4,21.02970615,23.23,3.589286948,0,1,2.752661791,9.6258,109.3030014,16.2046619,95.2771,57.049,24.672,1.803,4.8034,4.9128,1241.9529,10.0176
49,7,-72.957343,42.542863,0,1,0,1,0,0,1,9,NA,1,2.2,2.7,5.47162849,86.36,1.779887849,0,0,2.434486378,0,515.8590088,3.0992015,25.2028,47.925,24.1792,3.0082,6.5853,5.8813,1205.8622,6.8017
50,7,-72.072674,42.171761,1,1,0,1,0,1,0,18,NA,7,3.3,21.9,3.911092162,80.9,1.601198907,1,0,2.304827578,8.6077,182.8040009,NA,50.2502,47.925,24.1792,3.0082,6.5853,5.8813,1205.8622,6.8017
51,7,-73.12541,42.254243,0,1,0,0,0,1,0,10,NA,NA,NA,5.8,36.06250529,78.75,1.488750517,1,0,1.751220928,7.0289,411.8505859,3.0114307,40.4174,47.925,24.1792,3.0082,6.5853,5.8813,1205.8622,6.8017
52,13,-74.241347,40.410131,0,1,0,1,0,1,0,426,1469,21.2,0.6,3.6576,48.2503871,36.64,3.238951832,1,0,2.015697903,18.368,3.421000004,6.3455191,72.3227,50.2889,21.0449,3.3694,5.6719,7.0734,1222.8021,11.2828
53,12,-74.432795,41.18085,0,1,0,0,1,1,0,38.41,395,25.5,0.9,24.384,6.155303469,59.25,2.656762351,0,1,2.695075862,13.1129,347.8919983,9.430728,45.6707,46.7442,23.6167,3.7694,16.4373,6.8876,1174.4487,7.5265
54,16,-74.98477,40.858514,0,1,0,1,1,1,0,NA,485,3.72,0.8,11.8872,25.20247555,83.67,1.278691917,1,0,2.006309056,9.47,122.2870026,3.1133267,32.6955,52.1144,22.7675,2.4692,16.4146,6.5568,1185.8311,10.4801
55,16,-74.667079,41.317249,0,1,0,1,1,0,1,38.41,640,44.7,1.5,4.8768,2.045746484,62.5,1.454924888,0,0,2.61801653,2.3913,478.3340149,NA,96.6836,52.1144,22.7675,2.4692,16.4146,6.5568,1185.8311,10.4801
56,13,-74.470636,40.43388,1,1,0,1,0,1,0,16,675,3.23,1.1,6.096,47.47649624,30.73,4.723173939,0,1,2.973881677,12.26,15.49400043,15.8462809,64.4805,50.2889,21.0449,3.3694,5.6719,7.0734,1222.8021,11.2828
57,16,-75.010837,39.817545,0,1,0,1,1,1,0,62.56,1115,5.3,0.5,3.6576,343.9488945,27.05,2.602596935,1,0,1.741958378,8.6761,5.743999958,2.1582525,100.8032,52.1144,22.7675,2.4692,16.4146,6.5568,1185.8311,10.4801
59,55,-92.668503,44.62845,0,0,1,0,0,1,0,268,NA,54.5,NA,NA,2634.588619,8.38,2.139376556,0,1,2.911770127,8.9169,205.7440033,3.9562467,29.9329,58.3755,7.2626,0.8365,52.1727,6.2456,850.4951,7.0914
62,53,-95.643575,45.515894,1,1,1,1,0,1,0,95,1240,40.1,0.5,NA,14.38331427,2.73,1.759995971,0,1,3.931457773,6.7338,328.7749939,18.8720498,22.5265,43.8293,3.3408,-1.2276,77.686,4.9226,712.4655,6.8874
63,26,-91.608448,47.763349,0,0,0,1,0,1,0,20,561,NA,1.6,5.5,4.480533013,70.96,2.154032412,0,1,2.501682959,0.1587,468.7139893,6.6428689,11.394,50.3816,8.0284,0.0173,2.5958,2.9159,689.373,3.4596
64,55,-93.484629,44.08664,0,1,1,0,0,0,0,84,1210,29.9,1.6,9.4,2.633206471,0.33,1.229869564,1,0,3.138290368,3.7834,342.9179993,6.969686,84.0115,58.3755,7.2626,0.8365,52.1727,6.2456,850.4951,7.0914
65,38,-85.984903,41.234981,0,1,1,1,0,0,1,10,546,1.88,3.3,12.2,0.975932634,16.01,1.873590782,0,0,3.534758004,0,242.1653137,3.4201864,33.343,28.1029,12.4971,2.3424,68.0335,6.9867,1077.9943,11.5106
67,25,-93.904424,45.303439,0,1,0,1,1,1,1,54,920,7.69,5.1,18.3,1.818927936,39.34,1.330485844,0,0,2.834711886,0,295.1529846,4.4687013,39.1842,58.4376,5.8295,-0.112,34.0315,4.3656,713.9688,5.4364
69,38,-87.144874,39.099538,0,1,1,1,0,1,0,23,304,0.1,5.9,9.4,16.41876877,61.49,2.451730509,1,0,2.076224613,7.6787,163.1663818,NA,22.6441,28.1029,12.4971,2.3424,68.0335,6.9867,1077.9943,11.5106
70,29,-92.432327,45.561032,0,1,0,1,0,1,1,47,NA,25.7,0.95,NA,16.39759566,93.99,2.202818655,0,0,2.09703516,0,375.2440186,NA,6.473,57.5044,9.7548,0.6565,24.4435,5.4375,792.9928,5.6925
71,61,-95.621637,43.507901,0,0,1,1,0,1,0,390,NA,186,0.3,NA,9.824588372,0.2,2.038687545,0,1,2.176918971,6.6589,472.9450073,4.8584047,29.4104,45.4145,3.9262,-0.7634,78.0852,5.4287,777.634,8.8699
72,53,-93.832742,44.790222,0,0,1,1,0,1,0,914,2990,325,0.3,NA,40.40730978,4.11,1.105965346,0,1,1.891865647,6.3865,291.1679993,2.1901644,21.4727,43.8293,3.3408,-1.2276,77.686,4.9226,712.4655,6.8874
74,55,-93.060396,44.085536,1,0,1,0,0,0,0,161,1870,62.9,0.75,1.02,6.277347985,0.91,1.692537596,1,0,2.607469433,1.9191,376.3299561,9.4246399,19.8038,58.3755,7.2626,0.8365,52.1727,6.2456,850.4951,7.0914
75,53,-93.741682,44.785811,0,0,1,1,0,1,0,413,2990,164,0.5,4,89.02709257,8.77,1.223797615,0,1,1.884356157,10.5975,278.9509888,3.2455434,33.5977,43.8293,3.3408,-1.2276,77.686,4.9226,712.4655,6.8874
79,25,-93.854105,45.198248,1,1,0,0,1,0,1,10,920,7.05,2,NA,1.253174648,9.11,1.085805046,1,0,3.016104088,0.052,292.1019897,6.5697143,94.5313,58.4376,5.8295,-0.112,34.0315,4.3656,713.9688,5.4364
80,54,-95.742496,47.507383,0,1,1,0,0,1,0,NA,NA,6,1.2,NA,7.574508049,44.12,1.524736143,1,0,2.931552397,9.1591,387.8317566,7.5580145,16.0731,40.7452,2.8033,-1.4867,61.3385,2.6835,606.6129,4.5836
81,5,-73.453044,43.557455,0,1,0,1,1,1,0,29,246,NA,0.85,5.9,20.49966282,90.33,3.163157595,0,1,2.440623095,13.284,28.84700012,25.1002983,8.2105,51.6708,23.3406,3.1656,13.9882,6.282,1101.0326,6.1525
84,53,-93.171718,44.793451,0,1,1,1,0,1,0,NA,NA,2.8,2,NA,58.82388032,35.06,2.921133218,1,0,3.04208503,5.7446,275.2610779,4.1344734,59.9847,43.8293,3.3408,-1.2276,77.686,4.9226,712.4655,6.8874
87,29,-92.569712,44.969157,0,1,0,1,0,0,0,754,3412,NA,0.2,NA,68.61386098,5.32,1.382387798,1,0,2.074995253,3.2772,290.2430115,2.4147352,28.2335,57.5044,9.7548,0.6565,24.4435,5.4375,792.9928,5.6925
88,26,-92.243058,48.194281,1,1,0,1,0,1,0,NA,NA,NA,1.27,NA,4.482605732,83.21,2.671680029,0,1,3.032381225,0.1307,375.7680054,7.7851887,0,50.3816,8.0284,0.0173,2.5958,2.9159,689.373,3.4596
90,28,-91.095875,47.521976,0,0,0,1,0,1,0,15,674,2.2,NA,NA,42.75943852,76,1.422189358,0,1,2.143723168,8.4553,425.0570068,3.3623217,12.2059,52.2612,12.1407,0.8774,3.9893,4.2312,781.2754,4.0389
93,26,-91.789906,48.039485,0,1,0,1,0,1,1,NA,NA,NA,5.49,NA,6.660399361,63.56,1.926797533,0,0,2.364455318,0,398.6399841,3.3421501,0,50.3816,8.0284,0.0173,2.5958,2.9159,689.373,3.4596
94,53,-94.747023,43.734081,0,1,1,1,0,1,1,89,NA,61.3,0.6,3.5,1.539475349,8.34,1.908421728,0,0,3.602231039,0,375.5980225,8.7484569,14.283,43.8293,3.3408,-1.2276,77.686,4.9226,712.4655,6.8874
95,53,-95.793585,45.521929,1,1,1,1,0,1,1,360,2000,1,3.35,NA,1.399715079,1.56,1.188749644,0,0,2.814171564,0,349.0700073,5.0638049,38.5584,43.8293,3.3408,-1.2276,77.686,4.9226,712.4655,6.8874
97,7,-72.506821,43.346075,1,1,0,0,0,1,0,NA,NA,NA,NA,NA,594.1433803,80.46,3.220120636,0,1,2.097658594,15.36,143.1439972,7.1292011,17.7315,47.925,24.1792,3.0082,6.5853,5.8813,1205.8622,6.8017
99,7,-72.46421,43.406769,0,0,0,1,0,0,0,22,NA,2,0.3,NA,25.54818247,76.97,2.066628759,1,0,1.75420026,14.0209,290.5279846,2.076476,16.0901,47.925,24.1792,3.0082,6.5853,5.8813,1205.8622,6.8017
102,54,-95.763298,47.715586,0,0,1,1,0,0,1,NA,NA,NA,1.31064,NA,5.161121948,3.98,1.107877511,0,0,2.185360685,0.0317,391.6382446,NA,30.6124,40.7452,2.8033,-1.4867,61.3385,2.6835,606.6129,4.5836
103,53,-96.170047,44.39084,0,1,1,1,0,1,0,NA,NA,4.94,1.1,2,2.490675762,0.55,1.330257608,0,1,2.606836082,0.6778,501.9559937,4.3537713,22.2465,43.8293,3.3408,-1.2276,77.686,4.9226,712.4655,6.8874
106,29,-92.901583,45.340681,0,1,0,1,0,0,1,NA,NA,7.48,3.05,9.39,1.474025508,23.33,2.458177897,0,0,3.884852645,0,268.8379822,21.4111155,52.5618,57.5044,9.7548,0.6565,24.4435,5.4375,792.9928,5.6925
109,53,-93.356912,44.849852,1,0,1,1,0,1,0,NA,NA,9,0.9,NA,115.014166,12.25,1.565185541,0,1,2.956982339,10.4825,245.4580078,3.4460276,98.6146,43.8293,3.3408,-1.2276,77.686,4.9226,712.4655,6.8874
110,25,-94.908048,45.069953,1,1,0,0,1,0,0,NA,NA,109,0.46,NA,4.611001153,9.06,3.416772688,0,1,4.322573831,5.235,336.6749878,25.5658012,21.5056,58.4376,5.8295,-0.112,34.0315,4.3656,713.9688,5.4364
113,55,-92.638442,44.610307,0,1,1,0,0,1,0,314,NA,82.8,NA,NA,1.275646648,0,1.09705832,0,0,1.979871419,0,206.3989868,1.0495601,0,58.3755,7.2626,0.8365,52.1727,6.2456,850.4951,7.0914
114,26,-92.016596,47.746797,0,1,0,0,0,1,1,11,387,2.77,3.8,NA,3.71940038,23.87,1.244528724,0,0,1.964852498,0,447.0209961,1.0182771,50.0777,50.3816,8.0284,0.0173,2.5958,2.9159,689.373,3.4596
116,27,-91.27437,45.250134,0,1,0,1,0,1,0,29,796,NA,NA,NA,91.1542219,56.14,1.372084969,1,0,1.695551313,12.2488,339.8905945,1.2824047,17.9539,55.007,10.6028,1.1676,26.3292,5.8215,821.2488,5.6983
122,28,-92.404351,46.670507,0,1,0,0,0,1,0,NA,1178,5.2,0.75,6.7,3148.095909,32.4,3.386514959,0,1,8.230661781,7.2466,325.8849792,14.1199959,15.1465,52.2612,12.1407,0.8774,3.9893,4.2312,781.2754,4.0389
123,32,-89.174656,43.984816,0,1,0,0,1,0,1,NA,NA,NA,2.5146,NA,7.259474185,14.54,2.04574729,0,0,2.322290977,0.0627,239.2420044,NA,40.3931,60.2051,11.294,1.4685,27.9784,5.3612,790.5052,6.1065
124,5,-72.54959,44.101454,0,1,0,1,1,1,0,NA,NA,NA,1.8,NA,50.99624222,63.44,1.702761818,1,0,1.527585374,16.4028,277.322998,1.2697842,16.7045,51.6708,23.3406,3.1656,13.9882,6.282,1101.0326,6.1525
126,29,-92.57936,44.966555,0,1,0,1,0,1,0,220,2818,NA,0.3,NA,19.83887769,27.41,1.071891866,0,1,2.00938741,1.6874,290.2430115,2.3994004,25.9101,57.5044,9.7548,0.6565,24.4435,5.4375,792.9928,5.6925
127,28,-92.065856,46.952194,1,0,0,1,0,0,0,NA,NA,10,3,1.5,15.6112422,34.26,1.238618427,1,0,1.898306462,4.777,409.4250183,2.9763868,11.2987,52.2612,12.1407,0.8774,3.9893,4.2312,781.2754,4.0389
128,53,-95.863794,45.703359,0,0,1,1,0,1,0,128,1710,12.2,0.5,NA,10.8780811,3.09,2.243806831,0,1,3.091139448,8.5685,336.0100098,13.4182323,18.3592,43.8293,3.3408,-1.2276,77.686,4.9226,712.4655,6.8874
130,26,-91.590613,47.854478,1,1,0,1,0,0,0,NA,NA,NA,2.59,NA,4.072159501,60.7,5.124025617,0,1,4.397650229,1.9188,442.5139771,37.3381978,0.6759,50.3816,8.0284,0.0173,2.5958,2.9159,689.373,3.4596
131,25,-94.710318,45.335241,0,0,0,1,1,1,0,76,2230,NA,3.05,20,5.915073225,15.28,2.069893158,0,1,2.89825874,6.1871,342.4709778,25.3229058,42.1035,58.4376,5.8295,-0.112,34.0315,4.3656,713.9688,5.4364
132,5,-72.930682,43.314785,0,1,0,1,1,0,0,42.2000008,NA,NA,1,1.5,14.63079566,96.39,2.222100975,1,0,2.336847666,3.2452,789.0119629,2.1423471,0,51.6708,23.3406,3.1656,13.9882,6.282,1101.0326,6.1525
134,25,-93.337503,44.959014,1,0,0,1,1,1,1,700,NA,85,0.4,NA,56.71480599,9.22,1.399423079,0,0,1.765320006,0,266.756073,1.1102881,132.8084,58.4376,5.8295,-0.112,34.0315,4.3656,713.9688,5.4364
135,12,-73.032724,43.052567,1,1,0,1,1,1,0,12,NA,5,2,NA,11.79203968,87.43,1.475136573,1,0,1.633047723,2.8294,716.2030029,1.0668785,14.3863,46.7442,23.6167,3.7694,16.4373,6.8876,1174.4487,7.5265
136,5,-72.307246,44.868903,0,0,0,1,1,1,0,NA,NA,NA,4,NA,8.536899094,92.15,2.117882255,1,0,2.010175682,2.7689,355.8999939,2.1330591,5.0364,51.6708,23.3406,3.1656,13.9882,6.282,1101.0326,6.1525
139,55,-93.079486,44.86205,0,0,1,1,0,0,1,103,NA,59.2,0.75,NA,8.292749865,30.2,1.157059948,0,0,1.791833978,0,275.5450134,1.2612442,91.4329,58.3755,7.2626,0.8365,52.1727,6.2456,850.4951,7.0914
140,37,-85.502884,42.62041,0,1,1,1,1,0,1,NA,NA,2.6,NA,14.9352,5.994685083,68.25,1.8434483,0,0,2.567649249,0,226.8400726,4.9940779,25.8377,65.8962,11.4044,2.7227,53.8006,7.3809,928.5402,9.0484
142,29,-92.897921,45.365131,1,1,0,1,0,1,1,NA,NA,12,1.68,5,0.753169494,24.58,1.222637122,0,0,3.745057294,0,268.8379822,4.1336302,152.9406,57.5044,9.7548,0.6565,24.4435,5.4375,792.9928,5.6925
143,54,-96.65049,48.426899,0,0,1,1,0,1,0,NA,NA,8,1.22,5.182,1966.955476,16.56,3.002984334,0,1,4.849513934,5.947,273.1900024,NA,15.5324,40.7452,2.8033,-1.4867,61.3385,2.6835,606.6129,4.5836
146,26,-93.549079,47.648644,1,1,0,0,0,1,1,49,1030,6.21,1.4,NA,2.139816513,73.81,1.32199229,0,0,2.520214738,0,417.2789917,1.8178811,14.7019,50.3816,8.0284,0.0173,2.5958,2.9159,689.373,3.4596
147,5,-72.601432,44.755538,1,1,0,1,1,1,1,NA,NA,NA,3,NA,5.022143651,98.58,1.527977897,0,0,1.849259235,0.0166,417.9249878,NA,0,51.6708,23.3406,3.1656,13.9882,6.282,1101.0326,6.1525
148,26,-91.151988,48.104265,0,1,0,1,0,0,0,NA,NA,NA,6.86,NA,2.209911018,69.17,5.513410475,0,1,6.639073698,6.2551,421.4130249,54.7396333,0,50.3816,8.0284,0.0173,2.5958,2.9159,689.373,3.4596
149,26,-93.367548,47.871103,1,1,0,1,0,0,1,NA,NA,NA,1.98,NA,3.998116319,77.52,1.310730134,0,0,2.097011803,0,425.6654053,1.028502,36.9486,50.3816,8.0284,0.0173,2.5958,2.9159,689.373,3.4596
150,38,-86.390766,39.261006,0,0,1,0,0,1,0,46,859,13.83,6,8.5,28.31405388,79.84,3.967196965,0,1,2.856962815,17.2447,191.8829956,34.3473391,23.7165,28.1029,12.4971,2.3424,68.0335,6.9867,1077.9943,11.5106
151,26,-91.52009,47.875989,0,1,0,1,0,1,0,NA,NA,NA,4.11,NA,1.761825514,67.72,2.040194934,1,0,3.408396128,0.719,458.9300232,11.6172672,0,50.3816,8.0284,0.0173,2.5958,2.9159,689.373,3.4596
